ApplicantIncome,CoapplicantIncome,Dependents,LoanAmount,Loan_Amount_Term,Property_Area,Education_Graduate,Education_Not Graduate,Gender_Female,Gender_Male,Married_No,Married_Yes,Credit_History_0.0,Credit_History_1.0,Credit_History_1.0,Self_Employed_No,Self_Employed_Yes,Loan_Status_N,Loan_Status_Y
5849,1601.9163302636496,0,142.51153039832286,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
4583,1508.0,1,128.0,360.0,Rural,1,0,0,1,0,1,0,1,0,1,0,1,0
3000,1601.9163302636496,0,66.0,360.0,Urban,1,0,0,1,0,1,0,1,0,0,1,0,1
2583,2358.0,0,120.0,360.0,Urban,0,1,0,1,0,1,0,1,0,1,0,0,1
6000,1601.9163302636496,0,141.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
5417,4196.0,2,267.0,360.0,Urban,1,0,0,1,0,1,0,1,0,0,1,0,1
2333,1516.0,0,95.0,360.0,Urban,0,1,0,1,0,1,0,1,0,1,0,0,1
3036,2504.0,3+,158.0,360.0,Semiurban,1,0,0,1,0,1,1,0,0,1,0,1,0
4006,1526.0,2,168.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
12841,10968.0,1,349.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,1,0
3200,700.0,2,70.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
2500,1840.0,2,109.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
3073,8106.0,2,200.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
1853,2840.0,0,114.0,360.0,Rural,1,0,0,1,1,0,0,1,0,1,0,1,0
1299,1086.0,2,17.0,120.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
4950,1601.9163302636496,0,125.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
3596,1601.9163302636496,1,100.0,240.0,Urban,0,1,0,1,1,0,0,0,1,1,0,0,1
3510,1601.9163302636496,0,76.0,360.0,Urban,1,0,1,0,1,0,1,0,0,1,0,1,0
4887,1601.9163302636496,0,133.0,360.0,Rural,0,1,0,1,0,1,0,1,0,1,0,1,0
2600,3500.0,0,115.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
7660,1601.9163302636496,0,104.0,360.0,Urban,0,1,0,1,0,1,1,0,0,1,0,1,0
5955,5625.0,1,315.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
2600,1911.0,0,116.0,360.0,Semiurban,0,1,0,1,0,1,1,0,0,1,0,1,0
3365,1917.0,2,112.0,360.0,Rural,0,1,0,1,0,1,1,0,0,1,0,1,0
3717,2925.0,1,151.0,360.0,Semiurban,1,0,0,1,0,1,0,0,1,1,0,1,0
9560,1601.9163302636496,0,191.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,0,1,0,1
2799,2253.0,0,122.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
4226,1040.0,2,110.0,360.0,Urban,0,1,0,1,0,1,0,1,0,1,0,0,1
1442,1601.9163302636496,0,35.0,360.0,Urban,0,1,0,1,1,0,0,1,0,1,0,1,0
3750,2083.0,2,120.0,360.0,Semiurban,1,0,1,0,1,0,0,1,0,1,0,0,1
4166,3369.0,1,201.0,360.0,Urban,1,0,0,1,0,1,0,0,1,1,0,1,0
3167,1601.9163302636496,0,74.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,1,0
4692,1601.9163302636496,1,106.0,360.0,Rural,1,0,0,1,1,0,0,1,0,0,1,1,0
3500,1667.0,0,114.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
12500,3000.0,3+,320.0,360.0,Rural,1,0,0,1,1,0,0,1,0,1,0,1,0
2275,2067.0,0,142.51153039832286,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
1828,1330.0,0,100.0,360.0,Urban,1,0,0,1,0,1,1,0,0,1,0,1,0
